"measure_number","measure","financial_year","quarter","year_month","ethnicity","district","region","age","measure_type","value"
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Counties Manukau","Northern",NA,"Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Hawke's Bay","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Hawke's Bay","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Hutt Valley","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Hutt Valley","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Lakes","Te Manawa Taki",NA,"Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Lakes","Te Manawa Taki",NA,"Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"MidCentral","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"MidCentral","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Nelson Marlborough","Te Waipounamu",NA,"Value",3
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Nelson Marlborough","Te Waipounamu",NA,"Percent",0.993
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Northland","Northern",NA,"Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Northland","Northern",NA,"Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"South Canterbury","Te Waipounamu",NA,"Value",23
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"South Canterbury","Te Waipounamu",NA,"Percent",0.919
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Southern","Te Waipounamu",NA,"Value",6
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Southern","Te Waipounamu",NA,"Percent",0.994
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Tairāwhiti","Te Manawa Taki",NA,"Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Tairāwhiti","Te Manawa Taki",NA,"Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Taranaki","Te Manawa Taki",NA,"Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Taranaki","Te Manawa Taki",NA,"Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Waikato","Te Manawa Taki",NA,"Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Waikato","Te Manawa Taki",NA,"Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Wairarapa","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Wairarapa","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Waitematā","Northern",NA,"Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Waitematā","Northern",NA,"Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"West Coast","Te Waipounamu",NA,"Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"West Coast","Te Waipounamu",NA,"Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Whanganui","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Whanganui","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"National","National",NA,"Value",104
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"National","National",NA,"Percent",0.992
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Auckland","Northern",NA,"Value",56
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Auckland","Northern",NA,"Percent",0.975
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Bay of Plenty","Te Manawa Taki",NA,"Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Bay of Plenty","Te Manawa Taki",NA,"Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Canterbury","Te Waipounamu",NA,"Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Canterbury","Te Waipounamu",NA,"Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Capital & Coast","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Capital & Coast","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Counties Manukau","Northern",NA,"Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Counties Manukau","Northern",NA,"Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Hawke's Bay","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Hawke's Bay","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Hutt Valley","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Hutt Valley","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Lakes","Te Manawa Taki",NA,"Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Lakes","Te Manawa Taki",NA,"Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"MidCentral","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"MidCentral","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Nelson Marlborough","Te Waipounamu",NA,"Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Nelson Marlborough","Te Waipounamu",NA,"Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Northland","Northern",NA,"Value",0
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"Northland","Northern",NA,"Percent",1
"1.1","ESPI8","2022/23","Dec","2022-12",NA,"South Canterbury","Te Waipounamu",NA,"Value",30
