"measure_number","measure","financial_year","quarter","year_month","ethnicity","district","region","measure_type","value"
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Auckland","Northern","Rate",1261.9227
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Northland","Northern","Events",27355
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Northland","Northern","Rate",1221.8204
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Capital, Coast and Hutt Valley","Central","Events",54669
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Capital, Coast and Hutt Valley","Central","Rate",1203.2138
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Taranaki","Te Manawa Taki","Events",15405
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Taranaki","Te Manawa Taki","Rate",1142.6081
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Southern","Te Waipounamu","Events",39267
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Southern","Te Waipounamu","Rate",1115.7264
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Waitematā","Northern","Events",67587
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Waitematā","Northern","Rate",1105.5484
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Counties Manukau","Northern","Events",60869
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Counties Manukau","Northern","Rate",1103.5703
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Waikato","Te Manawa Taki","Events",50680
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Waikato","Te Manawa Taki","Rate",1101.6647
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Nelson Marlborough","Te Waipounamu","Events",19827
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Nelson Marlborough","Te Waipounamu","Rate",1099.7308
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Bay of Plenty","Te Manawa Taki","Events",31749
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Bay of Plenty","Te Manawa Taki","Rate",1092.2702
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Hawke's Bay","Central","Events",20683
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Hawke's Bay","Central","Rate",1082.4101
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Canterbury","Te Waipounamu","Events",52472
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"Canterbury","Te Waipounamu","Rate",917.9249
"1.3.2","SIR: FSA","2021/22","Dec","2021-12",NA,"National","National","Rate",1152.718
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Tairāwhiti","Te Manawa Taki","Events",9933
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Tairāwhiti","Te Manawa Taki","Rate",1836.2715
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"South Canterbury","Te Waipounamu","Events",10726
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"South Canterbury","Te Waipounamu","Rate",1553.8458
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"MidCentral","Central","Events",29633
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"MidCentral","Central","Rate",1476.8394
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"West Coast","Te Waipounamu","Events",5246
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"West Coast","Te Waipounamu","Rate",1346.9741
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Lakes","Te Manawa Taki","Events",16085
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Lakes","Te Manawa Taki","Rate",1310.9905
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Whanganui","Central","Events",10151
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Whanganui","Central","Rate",1297.8141
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Wairarapa","Central","Events",7071
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Wairarapa","Central","Rate",1255.8305
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Northland","Northern","Events",27295
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Northland","Northern","Rate",1214.1729
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Auckland","Northern","Events",55573
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Auckland","Northern","Rate",1205.8443
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Capital, Coast and Hutt Valley","Central","Events",53866
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Capital, Coast and Hutt Valley","Central","Rate",1185.268
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Taranaki","Te Manawa Taki","Events",15277
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Taranaki","Te Manawa Taki","Rate",1131.6105
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Waikato","Te Manawa Taki","Events",49399
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Waikato","Te Manawa Taki","Rate",1070.6834
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Nelson Marlborough","Te Waipounamu","Events",19262
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Nelson Marlborough","Te Waipounamu","Rate",1069.2168
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Waitematā","Northern","Events",65221
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Waitematā","Northern","Rate",1067.5014
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Bay of Plenty","Te Manawa Taki","Events",30860
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Bay of Plenty","Te Manawa Taki","Rate",1058.2539
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Southern","Te Waipounamu","Events",37140
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Southern","Te Waipounamu","Rate",1054.8533
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Counties Manukau","Northern","Events",57727
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Counties Manukau","Northern","Rate",1045.1762
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Hawke's Bay","Central","Events",19805
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Hawke's Bay","Central","Rate",1035.3818
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Canterbury","Te Waipounamu","Events",50722
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"Canterbury","Te Waipounamu","Rate",885.4895
"1.3.2","SIR: FSA","2021/22","Mar","2022-03",NA,"National","National","Rate",1116.4311
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Auckland","Northern","Events",53400
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Auckland","Northern","Rate",1166.9591
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Bay of Plenty","Te Manawa Taki","Events",30057
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Bay of Plenty","Te Manawa Taki","Rate",1026.3989
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Canterbury","Te Waipounamu","Events",47782
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Canterbury","Te Waipounamu","Rate",833.9201
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Capital, Coast and Hutt Valley","Central","Events",51042
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Capital, Coast and Hutt Valley","Central","Rate",1124.9668
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Counties Manukau","Northern","Events",55378
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Counties Manukau","Northern","Rate",999.9769
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Hawke's Bay","Central","Events",19246
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Hawke's Bay","Central","Rate",1003.9063
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Lakes","Te Manawa Taki","Events",15653
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Lakes","Te Manawa Taki","Rate",1270.8372
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"MidCentral","Central","Events",28306
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"MidCentral","Central","Rate",1407.6844
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Nelson Marlborough","Te Waipounamu","Events",17719
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Nelson Marlborough","Te Waipounamu","Rate",983.8978
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Northland","Northern","Events",26199
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Northland","Northern","Rate",1158.241
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"South Canterbury","Te Waipounamu","Events",10858
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"South Canterbury","Te Waipounamu","Rate",1576.0236
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Southern","Te Waipounamu","Events",37477
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Southern","Te Waipounamu","Rate",1064.7
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Tairāwhiti","Te Manawa Taki","Events",9944
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Tairāwhiti","Te Manawa Taki","Rate",1824.2241
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Taranaki","Te Manawa Taki","Events",14979
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Taranaki","Te Manawa Taki","Rate",1107.1024
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Waikato","Te Manawa Taki","Events",50585
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Waikato","Te Manawa Taki","Rate",1091.5742
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Wairarapa","Central","Events",6926
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Wairarapa","Central","Rate",1225.0293
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Waitematā","Northern","Events",61668
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Waitematā","Northern","Rate",1011.4729
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"West Coast","Te Waipounamu","Events",5022
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"West Coast","Te Waipounamu","Rate",1288.793
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Whanganui","Central","Events",9982
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"Whanganui","Central","Rate",1269.6516
"1.3.2","SIR: FSA","2021/22","Jun","2022-06",NA,"National","National","Rate",1079.06
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Auckland","Northern","Events",53592
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Auckland","Northern","Rate",1177.2571
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Bay of Plenty","Te Manawa Taki","Events",30250
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Bay of Plenty","Te Manawa Taki","Rate",1030.2318
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Canterbury","Te Waipounamu","Events",46978
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Canterbury","Te Waipounamu","Rate",819.7187
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Capital, Coast and Hutt Valley","Central","Events",50542
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Capital, Coast and Hutt Valley","Central","Rate",1114.822
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Counties Manukau","Northern","Events",55866
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Counties Manukau","Northern","Rate",1003.3511
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Hawke's Bay","Central","Events",19548
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Hawke's Bay","Central","Rate",1018.8386
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Lakes","Te Manawa Taki","Events",15735
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Lakes","Te Manawa Taki","Rate",1276.5938
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"MidCentral","Central","Events",27953
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"MidCentral","Central","Rate",1389.5264
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Nelson Marlborough","Te Waipounamu","Events",17218
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Nelson Marlborough","Te Waipounamu","Rate",955.7925
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Northland","Northern","Events",26751
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Northland","Northern","Rate",1179.0964
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"South Canterbury","Te Waipounamu","Events",10722
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"South Canterbury","Te Waipounamu","Rate",1557.1857
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Southern","Te Waipounamu","Events",37464
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Southern","Te Waipounamu","Rate",1065.0344
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Tairāwhiti","Te Manawa Taki","Events",9519
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Tairāwhiti","Te Manawa Taki","Rate",1742.4478
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Taranaki","Te Manawa Taki","Events",15065
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Taranaki","Te Manawa Taki","Rate",1113.6035
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Waikato","Te Manawa Taki","Events",50044
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Waikato","Te Manawa Taki","Rate",1077.3769
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Wairarapa","Central","Events",6988
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Wairarapa","Central","Rate",1231.6103
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Waitematā","Northern","Events",61556
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Waitematā","Northern","Rate",1010.5093
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"West Coast","Te Waipounamu","Events",5285
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"West Coast","Te Waipounamu","Rate",1359.2449
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Whanganui","Central","Events",9910
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"Whanganui","Central","Rate",1258.3138
"1.3.2","SIR: FSA","2022/23","Sep","2022-09",NA,"National","National","Rate",1076.0064
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Tairāwhiti","Te Manawa Taki","Events",9199
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Tairāwhiti","Te Manawa Taki","Rate",1677.8427
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"South Canterbury","Te Waipounamu","Events",10598
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"South Canterbury","Te Waipounamu","Rate",1538.9436
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"West Coast","Te Waipounamu","Events",5303
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"West Coast","Te Waipounamu","Rate",1365.0498
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"MidCentral","Central","Events",26929
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"MidCentral","Central","Rate",1336.9739
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Lakes","Te Manawa Taki","Events",15989
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Lakes","Te Manawa Taki","Rate",1294.6732
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Whanganui","Central","Events",9871
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Whanganui","Central","Rate",1249.8306
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Wairarapa","Central","Events",7060
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Wairarapa","Central","Rate",1238.4317
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Auckland","Northern","Events",53727
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Auckland","Northern","Rate",1188.631
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Northland","Northern","Events",27029
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Northland","Northern","Rate",1185.7296
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Taranaki","Te Manawa Taki","Events",14888
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Taranaki","Te Manawa Taki","Rate",1099.44
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Capital, Coast and Hutt Valley","Central","Events",49739
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Capital, Coast and Hutt Valley","Central","Rate",1098.5016
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Waikato","Te Manawa Taki","Events",49806
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Waikato","Te Manawa Taki","Rate",1069.2366
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Southern","Te Waipounamu","Events",37434
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Southern","Te Waipounamu","Rate",1064.2382
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Waitematā","Northern","Events",62282
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Waitematā","Northern","Rate",1023.6313
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Bay of Plenty","Te Manawa Taki","Events",30019
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Bay of Plenty","Te Manawa Taki","Rate",1018.4483
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Hawke's Bay","Central","Events",19541
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Hawke's Bay","Central","Rate",1016.3412
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Counties Manukau","Northern","Events",55958
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Counties Manukau","Northern","Rate",1002.1939
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Nelson Marlborough","Te Waipounamu","Events",16933
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Nelson Marlborough","Te Waipounamu","Rate",938.3236
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Canterbury","Te Waipounamu","Events",45800
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"Canterbury","Te Waipounamu","Rate",798.5678
"1.3.2","SIR: FSA","2022/23","Dec","2022-12",NA,"National","National","Rate",1069.7477
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Tairāwhiti","Te Manawa Taki","Events",8813
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Tairāwhiti","Te Manawa Taki","Rate",1608.8977
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"South Canterbury","Te Waipounamu","Events",10512
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"South Canterbury","Te Waipounamu","Rate",1529.3428
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"West Coast","Te Waipounamu","Events",5442
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"West Coast","Te Waipounamu","Rate",1402.6727
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"MidCentral","Central","Events",27589
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"MidCentral","Central","Rate",1369.4981
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Wairarapa","Central","Events",7380
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Wairarapa","Central","Rate",1290.8615
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Lakes","Te Manawa Taki","Events",15836
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Lakes","Te Manawa Taki","Rate",1281.46
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Whanganui","Central","Events",10087
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Whanganui","Central","Rate",1277.6394
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Auckland","Northern","Events",56002
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Auckland","Northern","Rate",1242.2278
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Northland","Northern","Events",27335
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Northland","Northern","Rate",1196.4746
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Taranaki","Te Manawa Taki","Events",15087
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Taranaki","Te Manawa Taki","Rate",1114.5587
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Capital, Coast and Hutt Valley","Central","Events",49935
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Capital, Coast and Hutt Valley","Central","Rate",1102.955
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Waikato","Te Manawa Taki","Events",50850
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Waikato","Te Manawa Taki","Rate",1089.8621
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Waitematā","Northern","Events",64181
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Waitematā","Northern","Rate",1054.2704
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Counties Manukau","Northern","Events",59181
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Counties Manukau","Northern","Rate",1052.3407
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Bay of Plenty","Te Manawa Taki","Events",31083
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Bay of Plenty","Te Manawa Taki","Rate",1052.0754
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Southern","Te Waipounamu","Events",36280
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Southern","Te Waipounamu","Rate",1032.0121
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Hawke's Bay","Central","Events",19580
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Hawke's Bay","Central","Rate",1017.4612
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Nelson Marlborough","Te Waipounamu","Events",16444
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Nelson Marlborough","Te Waipounamu","Rate",910.5143
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Canterbury","Te Waipounamu","Events",46146
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"Canterbury","Te Waipounamu","Rate",804.4465
"1.3.2","SIR: FSA","2022/23","Mar","2023-03",NA,"National","National","Rate",1087.4847
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Auckland","Northern","Events",56519
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Auckland","Northern","Rate",1258.3201
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Bay of Plenty","Te Manawa Taki","Events",31868
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Bay of Plenty","Te Manawa Taki","Rate",1074.899
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Canterbury","Te Waipounamu","Events",46631
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Canterbury","Te Waipounamu","Rate",811.9757
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Capital, Coast and Hutt Valley","Central","Events",50139
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Capital, Coast and Hutt Valley","Central","Rate",1107.0831
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Counties Manukau","Northern","Events",60942
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Counties Manukau","Northern","Rate",1080.1413
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Hawke's Bay","Central","Events",20119
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Hawke's Bay","Central","Rate",1043.838
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Lakes","Te Manawa Taki","Events",16424
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Lakes","Te Manawa Taki","Rate",1325.5957
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"MidCentral","Central","Events",28379
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"MidCentral","Central","Rate",1406.6519
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Nelson Marlborough","Te Waipounamu","Events",16802
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Nelson Marlborough","Te Waipounamu","Rate",929.4447
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Northland","Northern","Events",28521
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Northland","Northern","Rate",1242.4949
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"South Canterbury","Te Waipounamu","Events",10615
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"South Canterbury","Te Waipounamu","Rate",1546.4363
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Southern","Te Waipounamu","Events",39399
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Southern","Te Waipounamu","Rate",1120.5017
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Tairāwhiti","Te Manawa Taki","Events",8420
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Tairāwhiti","Te Manawa Taki","Rate",1533.5646
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Taranaki","Te Manawa Taki","Events",15402
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Taranaki","Te Manawa Taki","Rate",1136.659
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Waikato","Te Manawa Taki","Events",50837
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Waikato","Te Manawa Taki","Rate",1086.8466
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Wairarapa","Central","Events",7835
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Wairarapa","Central","Rate",1365.9518
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Waitematā","Northern","Events",66497
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Waitematā","Northern","Rate",1092.0685
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"West Coast","Te Waipounamu","Events",5550
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"West Coast","Te Waipounamu","Rate",1430.4634
"1.3.2","SIR: FSA","2022/23","Jun","2023-06",NA,"Whanganui","Central","Events",10527
